'7.2090483333333335', '79.93957166666667'
'7.20905', '79.93959333333333'
'7.209045', '79.93956666666666'
'7.209043333333334', '79.93956166666666'
'7.209045', '79.93956166666666'
'7.209043333333334', '79.93956333333334'
'7.209011666666667', '79.93954'
'7.20901', '79.93953833333333'
'7.209011666666667', '79.939545'
'7.209013333333333', '79.93954666666667'
'7.20902', '79.939525'
'7.209025', '79.93956166666666'
'7.2090266666666665', '79.93958666666667'
'7.209011666666667', '79.93959333333333'
'7.209005', '79.9396'
'7.208973333333334', '79.93960333333334'
'7.20898', '79.93961333333333'
'7.209015', '79.93960666666666'
'7.208971666666667', '79.93953166666667'
'7.20897', '79.93954'
'7.208963333333333', '79.93953666666667'
'7.208943333333333', '79.939555'
'7.2089783333333335', '79.939535'
'7.208963333333333', '79.93954'
'7.2089566666666665', '79.93954'
'7.2089533333333335', '79.93954166666667'
'7.20896', '79.939545'
'7.209', '79.93957'
'7.208933333333333', '79.93959166666667'
'7.208938333333333', '79.93959833333334'
'7.208926666666667', '79.93961166666666'
'7.208961666666666', '79.939615'
'7.208965', '79.93960833333334'
'7.208991666666667', '79.93960166666666'
'7.209018333333334', '79.93959166666667'
'7.209021666666667', '79.93959'
'7.209025', '79.93958333333333'
'7.209023333333334', '79.93958166666667'
'7.2090266666666665', '79.939545'
'7.2090266666666665', '79.93954166666667'
'7.209025', '79.93954166666667'
'7.209021666666667', '79.93954166666667'
'7.2090016666666665', '79.93953'
'7.208998333333334', '79.93953'
'7.209021666666667', '79.93961166666666'
'7.20902', '79.939615'
'7.2090016666666665', '79.93966666666667'
'7.208998333333334', '79.93969833333334'
'7.208996666666667', '79.93971333333333'
'7.208996666666667', '79.93971833333333'
'7.209', '79.93977166666667'
'7.208998333333334', '79.93977'
'7.209', '79.93976'
'7.209', '79.93976333333333'
'7.208996666666667', '79.93976'
'7.2090016666666665', '79.93975166666667'
'7.2090016666666665', '79.93973333333334'
'7.209005', '79.93971'
'7.209006666666666', '79.93969333333334'
'7.209013333333333', '79.939675'
'7.209013333333333', '79.93967666666667'
'7.209018333333334', '79.93967'
'7.209021666666667', '79.93966'
'7.209023333333334', '79.93963333333333'
'7.2090266666666665', '79.93962333333333'
'7.209023333333334', '79.93961833333333'
'7.209018333333334', '79.93961666666667'
'7.209015', '79.93960833333334'
'7.209015', '79.93959833333334'
'7.209013333333333', '79.93953833333333'
'7.209013333333333', '79.93953666666667'
'7.209015', '79.939535'
'7.209018333333334', '79.939535'
'7.20902', '79.939535'
'7.209021666666667', '79.93953333333333'
'7.209025', '79.93953333333333'
'7.209025', '79.93953166666667'
'7.209025', '79.93952833333333'
'7.209023333333334', '79.939525'
'7.20902', '79.93952333333333'
'7.209241666666666', '79.93957333333333'
'7.209898333333333', '79.939415'
'7.210136666666667', '79.93940666666667'
'7.21067', '79.93939833333333'
'7.210775', '79.93970333333333'
'7.210883333333333', '79.94103333333334'
'7.211071666666666', '79.942385'
'7.211316666666667', '79.94344666666667'
'7.211571666666667', '79.943525'
'7.211646666666667', '79.94360166666667'
'7.211638333333333', '79.94359833333333'
'7.211631666666666', '79.94359333333334'
'7.211626666666667', '79.943595'
'7.211621666666667', '79.94359333333334'
